what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.navigate.linkWithEditor",1478272397326
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478272628169
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478272681969
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478272693480
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478272708683
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1478272708714
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.closeProject",1478272739864
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1478272747725
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478272753472
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478272811065
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1478272811080
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1478272811080
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478272812409
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478272816891
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478272820154
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478272821717
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1478272822061
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1478272822670
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1478272822670
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1478272822670
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1478272822670
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1478272822670
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1478272822670
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1478272822686
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1478272822686
